id,title,subtitle,authors,publisher,published_date,category,distribution_expense
9781450000000,Eight Myths of Student Disengagement,,Jennifer A. Fredricks,Corwin Press,18/3/14,deep learning,3.19
9780200000000,Neural Networks for Pattern Recognition,,"Christopher M. Bishop, Professor of Neural Computing Christopher M Bishop",Oxford University Press,23/11/95,deep learning,6.9
9781790000000,Statistics for Machine Learning,,Pratap Dangeti,Packt Publishing Ltd,21/7/17,deep learning,7.3
3031044193,Applied Deep Learning,"Tools, Techniques, and Implementation","Paul Fergus, Carl Chalmers",Springer,23/7/22,deep learning,4.55
9781620000000,Grokking Machine Learning,,Luis Serrano,Simon and Schuster,14/12/21,deep learning,5.6
9781790000000,Python Deep Learning,,"Valentino Zocca, Gianmario Spacagna, Daniel Slater, Peter Roelants",Packt Publishing Ltd,28/4/17,deep learning,4.22
9780320000000,Deep Learning for Chest Radiographs,Computer-Aided Classification,"Yashvi Chandola, Jitendra Virmani, H.S Bhadauria, Papendra Kumar",Elsevier,22/7/21,deep learning,3.19
PKEY:6610000168569,Python Machine Learning,"A Practical Beginner's Guide to Understanding Machine Learning, Deep Learning and Neural Networks with Python, Scikit-Learn, Tensorflow and Keras",Railey Brandon,Roland Bind,25/4/19,deep learning,6.9
1489978526,Machine Learning Models and Algorithms for Big Data Classification,Thinking with Examples for Effective Learning,Shan Suthaharan,Springer,23/8/16,deep learning,7.3
1800567642,Automated Machine Learning with AutoKeras,Deep Learning Made Accessible for Everyone with Just Few Lines of Coding,Luis Sobrecueva,Packt Publishing,21/5/21,deep learning,4.55
128021217,Introduction to Statistical Machine Learning,,Masashi Sugiyama,Morgan Kaufmann Publishers,12/10/15,deep learning,5.6
1119857201,Brain-Computer Interface,Using Deep Learning Applications,"M.G. Sumithra, Rajesh Kumar Dhanaraj, Mariofanna Milanova, Balamurugan Balusamy, Chandran Venkatesan",Wiley-Scrivener,14/3/23,deep learning,4.22
9781670000000,"Research Anthology on Machine Learning Techniques, Methods, and Applications",,"Management Association, Information Resources",IGI Global,13/5/22,deep learning,3.19
9783030000000,Machine Learning for Critical Internet of Medical Things,Applications and Use Cases,"Fadi Al-Turjman, Anand Nayyar",Springer Nature,3/2/22,deep learning,6.9
9781320000000,Large-Scale Machine Learning in the Earth Sciences,,"Ashok N. Srivastava, Ramakrishna Nemani, Karsten Steinhaeuser",CRC Press,1/8/17,deep learning,7.3
9781490000000,AI and Machine Learning for Coders,,Laurence Moroney,O'Reilly Media,1/10/20,deep learning,4.55
9781120000000,Machine Learning For Dummies,,"John Paul Mueller, Luca Massaron",John Wiley & Sons,9/2/21,deep learning,5.6
9781490000000,Machine Learning and Security,Protecting Systems with Data and Algorithms,"Clarence Chio, David Freeman","""O'Reilly Media, Inc.""",26/1/18,deep learning,4.22
1617293873,Machine Learning with TensorFlow,,Nishant Shukla,Manning Publications,12/2/18,deep learning,3.19
9781800000000,Transformers for Natural Language Processing,"Build innovative deep neural network architectures for NLP with Python, PyTorch, TensorFlow, BERT, RoBERTa, and more",Denis Rothman,Packt Publishing Ltd,29/1/21,deep learning,6.9
9780390000000,The Elements of Statistical Learning,"Data Mining, Inference, and Prediction","Trevor Hastie, Robert Tibshirani, Jerome Friedman",Springer Science & Business Media,11/11/13,deep learning,7.3
9781490000000,Practical Time Series Analysis,Prediction with Statistics and Machine Learning,Aileen Nielsen,O'Reilly Media,20/9/19,deep learning,4.55
9811518157,Deep Learning Applications,,"M. Arif Wani, Mehmed Kantardzic, Moamar Sayed-Mouchaweh",Springer,29/2/20,deep learning,5.6
9780260000000,"Reinforcement Learning, second edition",An Introduction,"Richard S. Sutton, Andrew G. Barto",MIT Press,13/11/18,deep learning,4.55
9783030000000,Linear Algebra and Optimization for Machine Learning,A Textbook,Charu C. Aggarwal,Springer Nature,13/5/20,deep learning,5.6
9781490000000,Artificial Intelligence in Finance,,Yves Hilpisch,"""O'Reilly Media, Inc.""",14/10/20,deep learning,4.22
